"original","clean","category","categoryType"
"By shear coincidence, all these sheep look the same. "," shear coincidence,   sheep look  . ","puns","animals"
"My friend was annoying me with bird puns but toucan play this game. "," friend  annoying   bird puns  toucan play  game. ","puns","animals"
"Pig puns are so boaring. ","pig puns   boaring. ","puns","animals"
"These giant squid jokes are kraken me up! "," giant squid jokes  kraken  ! ","puns","animals"
"I hate insect puns, they really bug me. "," hate insect puns,  really bug . ","puns","animals"
"A dog gave birth to puppies near the road and was ticketed for littering. "," dog gave birth  puppies near  road   ticketed  littering. ","puns","animals"
"The best way to communicate with a fish is to drop them a line. "," best way  communicate   fish   drop   line. ","puns","animals"
"A bear was killing moose for entertainment but in the end he wasn't amoosed. "," bear  killing moose  entertainment    end   amoosed. ","puns","animals"
"The duck was in rehab because he was a quackaddict. "," duck   rehab     quackaddict. ","puns","animals"
"Cuddling a cat usually leaves you feline good. ","cuddling  cat usually leaves  feline good. ","puns","animals"
"I'm so purrfect that whenever I meet a pretty girl, I whisker away. ","'m  purrfect  whenever  meet  pretty girl,  whisker away. ","puns","animals"
"The best way to communicate with fish is to drop them a line "," best way  communicate  fish   drop   line ","puns","animals"
"I saw a beaver movie last night, it was the best dam movie ever. "," saw  beaver movie last night,    best dam movie ever. ","puns","animals"
"I went to a seafood party last week, I pulled a mussel. "," went   seafood party last week,  pulled  mussel. ","puns","animals"
"My dyslexia has just hit a owl. "," dyslexia  just hit  owl. ","puns","animals"
"When I asked my dog how his day was he said it was rough. ","  asked  dog   day   said   rough. ","puns","animals"
"I removed the shell from my racing snail to make it go faster - but it just made it more sluggish. "," removed  shell   racing snail  make  go faster -   just made   sluggish. ","puns","animals"
"Have you ever heard of an honest cheetah? ","  ever heard   honest cheetah? ","puns","animals"
"Smaller babies may be delivered by stork but the heavier ones need a crane. ","smaller babies may  delivered  stork   heavier ones need  crane. ","puns","animals"
"Simba was moving slow, so i told him to Mufasa! ","simba  moving slow,   told   mufasa! ","puns","animals"
"I hope the purrfessor cancels class beclaws I'm just not feline up for it right meow! "," hope  purrfessor cancels class beclaws 'm just  feline    right meow! ","puns","animals"
"Cuddling a cat usually leaves you feline good. ","cuddling  cat usually leaves  feline good. ","puns","animals"
