"original","clean","category","categoryType"
"I love you from my head tomatoes. "," love    head tomatoes. ","puns","food"
"If you were a fruit, you’d be a fine-apple. ","    fruit, ’d   fine-apple. ","puns","food"
"Becoming a vegetarian is a big missed steak. ","becoming  vegetarian   big missed steak. ","puns","food"
"SPOILER ALERT: That milk has been in the fridge for three weeks. ","spoiler alert  milk     fridge  three weeks. ","puns","food"
"The majority of Americans find bananas a peeling. "," majority  americans find bananas  peeling. ","puns","food"
"Every morning I think I’m going to make pancakes, but I keep waffling. ","every morning  think ’m going  make pancakes,   keep waffling. ","puns","food"
"I love when candy canes are in mint condition. "," love  candy canes   mint condition. ","puns","food"
"My granddaughter told me, “Don’t buy brown eggs; they’re not ripe yet.” "," granddaughter told , “don’t buy brown eggs; ’re  ripe yet.” ","puns","food"
"Time flies like an arrow, but fruit flies like a banana. ","time flies like  arrow,  fruit flies like  banana. ","puns","food"
"Spending a lot of time at the coffee bar can cause a latte problems. ","spending  lot  time   coffee bar can cause  latte problems. ","puns","food"
"I was going to grow an herb garden, but I couldn’t find the thyme. ","  going  grow  herb garden,   couldn’t find  thyme. ","puns","food"
"A guy just threw a glass of milk at me- How dairy! "," guy just threw  glass  milk  -  dairy! ","puns","food"
"The girl quit her job at the doughnut factory because she was fed up with the hole business. "," girl quit  job   doughnut factory    fed    hole business. ","puns","food"
"Butchers link sausage to make ends meat. ","butchers link sausage  make ends meat. ","puns","food"
"I wanted to take home the left-overs from the BBQ, but someone else foiled my plans. "," wanted  take home  left-overs   bbq,  someone else foiled  plans. ","puns","food"
"When making butter there is little margarine for error. "," making butter   little margarine  error. ","puns","food"
"Old colanders never die, they just can't take the strain anymore. ","old colanders never die,  just  take  strain anymore. ","puns","food"
"My mom ran out of poultry seasoning so she winged it. "," mom ran   poultry seasoning   winged . ","puns","food"
"The British cannibal enjoyed snacking on fish and chaps. "," british cannibal enjoyed snacking  fish  chaps. ","puns","food"
"I tried to finish the leftovers, but ... foiled again. "," tried  finish  leftovers,  ... foiled . ","puns","food"
"In order to have a successful luau, you have to go whole hog! "," order    successful luau,    go whole hog! ","puns","food"
"The cannibal hitman preferred take out food. "," cannibal hitman preferred take  food. ","puns","food"
"The food they serve to guards can last for sentries. "," food  serve  guards can last  sentries. ","puns","food"
"I get distracted by all the meats in the deli section, must be my short attention spam. "," get distracted    meats   deli section, must   short attention spam. ","puns","food"
"Eating breakfast in front of the TV at the same time every day turns the meal into a serial. ","eating breakfast  front   tv    time every day turns  meal   serial. ","puns","food"
"Two loaves of bread wanted to get married, so they eloafed. ","two loaves  bread wanted  get married,   eloafed. ","puns","food"
"His beard is so thick, when he eats food he mustache some of it away for later. "," beard   thick,   eats food  mustache    away  later. ","puns","food"
"'I agree with you wholeheartedly,' said the artichoke grower. ","' agree   wholeheartedly,' said  artichoke grower. ","puns","food"
"People who eat their apples stem and seed and all improve their core values. ","people  eat  apples stem  seed   improve  core values. ","puns","food"
"A man was ambidextrous, he could eat sugar with both hands. "," man  ambidextrous,   eat sugar   hands. ","puns","food"
