"original","clean"
"Q: Why did the blind blonde cross the road?  A: She was following her seeing-eye chicken. ","    blind blonde cross  road?     following  seeing-eye chicken. "
"Q: Why did the one-handed man cross the road?  A: To get to the second hand shop. ","    one-handed man cross  road?    get   second hand shop. "
"Q: Why did the monkey cross the road?  A: So he could get spanked. ","    monkey cross  road?      get spanked. "
"Q: Why did the turkey cross the road?  A: Because he wasn't a chicken. ","    turkey cross  road?       chicken. "
"Q: Why did the fat turkey cross the road?  A: To get hit by my car. ","    fat turkey cross  road?    get hit   car. "
"Why did George W. Bush cross the road?  To ask his dad how to run the presidency. ","  george w. bush cross  road?   ask  dad   run  presidency. "
"Q: Why did the gum cross the road?  A: Beacause it was stuck to the chicken's foot. ","    gum cross  road?   beacause   stuck   chicken's foot. "
"Q: Why did the woman cross the road?  A: I don't know, but where'd she get shoes and what is she doing out of the kitchen? ","    woman cross  road?     know,  'd  get shoes         kitchen? "
"Why did the chickens cross the road?  They thought it was an egg-cellent idea! ","   chickens cross  road?   thought    egg-cellent idea! "
"Why did the dinosaur cross the road?  The chicken wasn’t around yet. ","   dinosaur cross  road?   chicken wasn’t around yet. "
"Why did the cow cross the road?  Because the chicken was on holiday. ","   cow cross  road?    chicken   holiday. "
"Why did the chicken cross the playground?  To get to the other slide. ","   chicken cross  playground?   get    slide. "
"Why did the dog cross the road twice?  He was trying to fetch a boomerang! ","   dog cross  road twice?    trying  fetch  boomerang! "
"Why did the fish cross the ocean?  To get to the other tide! ","   fish cross  ocean?   get    tide! "
"Why did the spider cross the road?  To get to his web site! ","   spider cross  road?   get   web site! "
"Why did the fish cross the road?  To get to its school. ","   fish cross  road?   get   school. "
"Why did the cow cross the road?  To get to the udder side. ","   cow cross  road?   get   udder side. "
"Why did the dog cross the road?  Because he was chasing the chicken. ","   dog cross  road?     chasing  chicken. "
"Why did the duck cross the road?  Because it thought it was a chicken. ","   duck cross  road?    thought    chicken. "
"Why did the cactus cross the road?  Because he was stuck to the chicken's back. ","   cactus cross  road?     stuck   chicken's back. "
"Why did the rooster cross the road?  To prove he wasn't a chicken. ","   rooster cross  road?   prove    chicken. "
"Why didn't the skeleton cross the road?  Because he didn't have the guts. ","   skeleton cross  road?       guts. "
"Why did the sheep cross the road?  To get to the Baa Baa Shop for a haircut. ","   sheep cross  road?   get   baa baa shop   haircut. "
"Why did the chicken cross the road?  Because she was getting tired of just standing there! ","   chicken cross  road?     getting tired  just standing ! "
"Why did the turtle cross the road?  To get to the shell station. ","   turtle cross  road?   get   shell station. "
"Why did the chicken stop crossing the road?  It got tired of everyone making so many jokes! ","   chicken stop crossing  road?   got tired  everyone making  many jokes! "
"Q: What do you call a boomerang that won't come back?  A: A stick. ","    call  boomerang   come back?    stick. "
"Q: What do you call a clairvoyant midget who just broke out of prison?  A: A small medium at large. ","    call  clairvoyant midget  just broke   prison?    small medium  large. "
"Q: What's the best thing about having Alzheimer's Disease?  A: You can hide your own easter eggs. "," 's  best thing   alzheimer's disease?    can hide   easter eggs. "
"Q: What's the difference between ‘Oooh’ and ‘Aaah’?  A: About 3 inches "," 's  difference  ‘oooh’  ‘aaah’?    3 inches "
