id,category,joke_type,subject,joke_text,joke_submitter_id,joke_source
505,@Sports@,@Pun@,@Tennis@,@Why don’t fish play tennis? Because they''re afraid of the net.@,NULL,@D94@
506,@Programming@,@One-liner@,@Recursion@,@To understand what recursion is, you must first understand recursion.@,496,@C37@
507,@Other@,@Punch line@,@Onions@,@A lot of people cry when cutting onions. The trick is to not form an emotional bond.@,533,@C75@
508,@Lawyer@,@Punch line@,@east coast@,@Why does New Jersey have so many toxic waste dumps, and Washington DC so many lawyers? New Jersey got first choice.@,NULL,@D80@
509,@School@,@One-liner@,@school@,@I start studying when my coffee starts kicking in.@,468,@C11@
511,@Math@,@Punch line@,@Root beer@,@What do you get when you put root beer in a square glass? A beer.@,NULL,@D4@
512,@Nerd@,@Pun@,@Chemistry@,@Oxygen went on a date today with Potassium. It went OK.@,NULL,@D42@
513,@Animal@,@Punch line@,@Cows@,@What do you get from a pampered cow? Spoiled milk.@,538,@C82@
514,@Programming@,@Question@,@Loop@,@Why are ''i'' and ''j'' a good source of information? They''re always in the loop.@,NULL,@D54@
515,@Dad@,@Punch line@,@Megabyte@,@Have you heard of the band 1023MB? They haven''t got a Gig yet@,NULL,@D153@
516,@Nerd@,@Pun@,@NASA@,@How does nasa organize a party? they planet! @,NULL,@D37@
517,@Lawyer@,@Story@,@the devil@,@A young lawyer meets the devil one day, and the devil says, "If you give me your soul, and the souls of everyone in your family, I''ll make you a full partner in your firm." The young lawyer says, "sooo, whats the catch?"@,NULL,@D81@
518,@Nerd@,@Pun@,@Chemistry@,@I would say you''re a 10... cause you''re really basic.@,NULL,@D39@
519,@Programming@,@Punch line@,@Adding features to programs@,@Most people believe that if it ain''t broke, don''t fix it. Engineers believe that if it ain''t broke, it doesn''t have enough features yet.@,497,@C39@
520,@Children@,@Pun@,@Fruit@,@My friend thinks he is smart. He told me an onion is the only food that makes you cry, so I threw a coconut at his face.@,480,@C21@
521,@Other@,@Question@,@Languages, dad joke@,@What is the least spoken language in the world? Sign language.@,529,@C70@
522,@Animal@,@Pun@,@Turkeys@,@What do turkeys do on halloween? "watch the poultry-geist"@,NULL,@D36@
523,@Programming@,@Punch line@,@Database@,@3 Database SQL walked into a NoSQL bar. A little while later...they walked out. Because they couldn''t find a table.@,485,@C76@
524,@Math@,@Punch line@,@Infinite Series@,@An infinite crowd of mathematicians enters bar. The first one orders a pint, the second one a half pint, the third one a quarter pint... "I understand", says the bartender - and pours two pints.@,NULL,@D133@
525,@Medicine/Doctor@,@Pun@,@Pills@,@Why should you open the medicine box slowly? So you don''t wake up the sleeping pills.@,505,@C47@
526,@Medicine@,@Pun@,@Doctors@,@Yesterday I accidentally swallowed some food coloring. The doctor says I''m OK, but I feel like I''ve dyed a little inside.@,NULL,@D28@
527,@School@,@Question@,@cheerleaders@,@What did the cheerleader say when she was given more homework? Bring it on.@,NULL,@D23@
528,@Medicine/Doctor@,@One-liner@,@Alcoholism@,@ My doctor told me to watch my drinking. Now I drink in front of a mirror. I drink too much. Way too much. My doctor drew blood. He ran a tab.@,549,@C99@
529,@Animal@,@Dialogue@,@Elephants@,@I bought my friend an elephant for his room. He said, "Thanks." I told him, "Don''t mention it."@,475,@C17@
530,@Math@,@Punch line@,@Children@,@How does a mathematician induce good behavior in her children? "I''ve told you n times, I''ve told you n+1 times..."@,NULL,@D8@
531,@Math@,@Punch line@,@Lovers of Math@,@What do you call friends who love math? Algebros.@,NULL,@D11@
532,@Politics@,@Pun@,@Trump@,@What is Donald Trump''s favorite nation? Discrimination.@,NULL,@D174@
533,@Programming@,@Pick Up Line@,@Programmer@,@Girl I wish you were asynchronous, so you can give me some callbacks.@,NULL,@D60@
534,@Politics@,@Punch line@,@Olympics@,@If I was in charge, I would not have the Olympics in our country anymore. Don''t let the whole world come here and see our stuff. It just pisses them off.@,486,@C25@
535,@Programming@,@Pun@,@Programmers@,@Why are Assembly programmers always soaking wet? They work below C-level.@,NULL,@D76@
536,@Medicine@,@Pun@,@dentists@,@Q: What does the dentist of the year get? A: A little plaque @,NULL,@D65@
537,@Medicine@,@Question@,@Dracula@,@Why did Dracula go to the doctor? He couldn''t stop coffin.@,NULL,@D145@
538,@Programming@,@Pun@,@java programmers@,@Why do Java programmers wear glasses? Because they don’t C#!@,NULL,@D62@
539,@Children@,@Question@,@Farm Animals@,@What did the baby chick say to the stingy farmer? Cheep! Cheep! Cheep!@,459,@C5@
540,@Other@,@Question@,@A guy @,@Q: What do you call a guy with a rubber toe? A: Roberto.@,466,@C10@
541,@Programming@,@One-liner@,@programming@,@ As a programmer, sometimes I feel a void And I know I''ve reached the point of no return@,520,@C61@
542,@Other@,@One-liner@,@Keyboards@,@I can''t see an end. I have no control and I don''t think there''s any escape. I don''t even have a home anymore. I think it''s time for a new keyboard.@,556,@C105@
543,@Politics@,@Pun@,@Trump@,@How does Trump hunt for Easter surprises? By issuing an eggs-accretive order.@,NULL,@D34@
544,@Math@,@Question@,@Derivatives@,@What''s the derivative of Amazon with respect to cost of shipping? Amazon Prime!@,NULL,@D135@
545,@Math@,@Punch line@,@Apples@,@What do you get if you add two apples and three apples? A middle school math problem.@,NULL,@D6@
546,@Animal@,@Punch line@,@animal @,@If you want to catch a squirrel just climb a tree and act like a nut.@,454,@C2@
547,@Other@,@Dialogue@,@silly stupidity@,@Two farmers are walking down the road, and one says to the other: Farmer1: Guess how many chickens I have in the bag and I''ll give you both of them. Farmer2: Three? Farmer1: No fair you peeked!@,511,@C53@
548,@Politics@,@Pun@,@Numbers/Pun@,@Why is six afraid of 7? Cause 7 ate 9@,534,@C77@
549,@Sports@,@Pun@,@Tennis@,@Why didn’t the tennis player change the light bulb? He refused to admit it was out!@,NULL,@D96@
550,@Math@,@Pun@,@Geometry@,@What did the seed say when it grew up? Gee, I’m a tree! (Geometry)@,NULL,@D130@
551,@Math@,@Other@,@Roman Numerals@,@What do you call a number that can''t keep still? A roamin'' numeral@,NULL,@D132@
552,@Politics@,@One-liner@,@Bureaucracy@,@The worst part about working for the department of unemployment is when you get fired you still have to show up the next day.@,NULL,@D14@
553,@Lawyer@,@Punch line@,@sharks@,@Why don''t sharks eat lawyers? Professional courtesy.@,NULL,@D77@
554,@Medicine/Doctor@,@Dialogue@,@I’m on The Eraser Diet@,@When I stepped on the scale at  my doctor’s office, I was surprised  to see that I weighed 144 pounds. “Why don’t you just take off  that last four?” I joked to the nurse’s  aide as she made a notation on  my chart. A few moments later, my doctor came in and flipped through the chart. I see you’ve lost weight,” he said. “You’re down to 14 pounds.@,482,@C49@
555,@Medicine@,@Punch line@,@doctor@,@Doctor, doctor, You''ve got to help me - I just can''t stop my hands shaking! "Do you drink a lot?" "Not really - I spill most of it!"@,NULL,@D67@
556,@Programming@,@Pun@,@programmerss@,@What does the compiler say to the programmer who tried to persuade it? Error: Not enough arguments.@,NULL,@D56@
558,@Sports@,@Question@,@Running@,@What is harder to catch the faster you run? Your breath!@,481,@C29@
559,@Animal@,@Question@,@Frogs@,@What happens when a frog''s car breaks down? It gets toad away.@,NULL,@D100@
560,@Math@,@Punch line@,@Lunch@,@Why did the two 4''s skip lunch? They already 8.@,NULL,@D5@
561,@Nerd@,@Pun@,@Chemistry@,@What kind of fish is only made up of two sodium atoms? 2 Na@,NULL,@D40@
